"Timestamp","Average Grade","Birth Year","Nationality","Gender","Favorite Pastime","Favorite Music Genre","Favorite Sport","Favorite Flavor Type","Personality","Typical Sleeping Hour","Do you smoke?","Favorite Color","Favorite Digit","Horoscope","Aptitude to work in groups","Do you Procrastinate a lot?","Are you organized?","Do you have Siblings? How many?","Monthly Spending","Course After Diploma","Enjoyment of Studying in Singapore","Enjoyment of Studying in PSB Academy","Favorite DICT Module","Hardest DICT Module"
"2019/08/29 4:55:09 PM GMT+8","7","2000","Burmese","Male","Hanging out with friends outside","Pop","Basketball","Salty","5",">8","Yes","Black","6","Libra","8","Yes","Yes","0","2000","PSB University of Newcastle","9","8","AC","IP"
"2019/08/29 4:55:35 PM GMT+8","1","1999","Indian","Female","Hanging out with friends outside","Rock","Basketball","Sweet","3","6-7","No","Black","4","Gemini","2","Yes","No","1","100","PSB University of Newcastle","1","1","Nothing","Everything "
"2019/08/29 4:55:42 PM GMT+8","9","2000","Singaporean","Prefer not to say","Listen to Music","Rap","Volleyball","Sour","4","4-5","No","Yellow","9","Taurus","6","Yes","No","1","500","PSB University of Newcastle","7","6","ISOG","no"
"2019/08/29 4:56:00 PM GMT+8","8","1999","Burmese","Male","Physical Sports","Jazz","Cricket","Sour","1",">8","No","White","7","Aquarius","8","No","No","0","700","PSB University of Newcastle","10","10","IP","IP"
"2019/08/29 4:56:33 PM GMT+8","5","1999","Malaysian","Male","Listen to Music","Rock","Basketball","Salty","4","6-7","Yes","Orange","4","Leo","6","Yes","Yes","0","500$","No Further Studies","6","9","IP","IP"
"2019/08/29 4:56:52 PM GMT+8","6","1998","Singaporean","Male","Games","EDM","Football","Salty","4","4-5","Prefer not to say","Black","9","Virgo","9","No","Yes","0","$800 sgd","PSB Coventry University","7","6","AC","IP"
"2019/08/29 4:56:56 PM GMT+8","7","1998","Singaporean","Female","Shopping","Jazz","Football","Bitter","5",">8","No","Green","9","Scorpio","7","No","Yes","10","2000","Other Institution in Singapore","3","9","IP","AC"
"2019/08/29 4:56:57 PM GMT+8","8","2001","Taiwanese","Male","Physical Sports","Pop","Football","Salty","3","6-7","No","Red","4","Leo","5","No","No","0","500","Other Institution in Singapore","7","5","IP","DM"
"2019/08/29 4:57:30 PM GMT+8","8","2000","Malaysian","Male","Games","Rock","Basketball","Sweet","5","6-7","Prefer not to say","Red","8","Aquarius","8","No","Yes","2","1500","PSB Coventry University","5","5","ISOG","AC"
"2019/08/29 4:57:37 PM GMT+8","5","1997","Singaporean","Male","Games","Rock","Basketball","Savoury","1","6-7","No","Orange","6","Virgo","5","Yes","Yes","3","~100","PSB University of Newcastle","6","7","AC","ICOS"
"2019/08/29 4:57:37 PM GMT+8","8","1998","Korean","Male","Hanging out with friends outside","Rap","Basketball","Sweet","3","6-7","Yes","Black","7","Virgo","7","No","Yes","1","800","PSB Coventry University","5","5","IP","IP"
"2019/08/29 4:57:48 PM GMT+8","8","1998","Korean","Male","Hanging out with friends outside","Rap","Basketball","Sweet","3","6-7","Yes","Black","7","Virgo","7","No","Yes","1","800","PSB Coventry University","5","5","IP","IP"
"2019/08/29 4:58:37 PM GMT+8","7","1995","Singaporean","Male","Games","Rap","Tennis","Sweet","4",">8","No","Red","8","Pisces","9","Yes","Yes","8","3","PSB University of Newcastle","8","6","",""
"2019/08/29 4:59:02 PM GMT+8","4","1998","Indonesian","Female","Shopping","EDM","Tennis","Sour","3","6-7","No","Purple","4","Leo","8","Yes","Yes","1","2500","Other Institution in Singapore","6","6","DCNG","IP"
"2019/08/29 4:59:21 PM GMT+8","7","1998","Australian","Female","Shopping","EDM","Tennis","Sweet","5",">8","No","Black","10","Aries","8","Yes","Yes","1","600$","Other institution Overseas","9","10","ISOG ","DCNG"
"2019/08/29 4:59:46 PM GMT+8","6","2001","Korean","Female","Shopping","Jazz","Tennis","Sweet","2",">8","No","Purple","9","Aries","7","No","Yes","1","$1100 sgd","PSB Edith Cowan University","7","5","AC","DM"
"2019/08/29 5:00:22 PM GMT+8","4","1997","chinese","Male","Games","Pop","Basketball","Sweet","2","6-7","No","Black","6","Pisces","7","Yes","No","6","2000dollar","PSB Coventry University","6","7","iseg","ac"
"2019/08/29 5:00:41 PM GMT+8","8","1995","Indonesian","Female","Shopping","Pop","Hockey","Sour","3","6-7","No","Black","5","Cancer","5","No","Yes","1","3000","PSB University of Newcastle","9","6","",""
"2019/08/29 5:00:54 PM GMT+8","7","2001","Chinese ","Male","Games","EDM","Basketball","Salty","3","6-7","No","Green","6","Gemini","7","Yes","Yes","1","2500","PSB University of Newcastle","7","7","IP","AC"
"2019/08/29 5:01:48 PM GMT+8","8","2001","Indonesian","Female","Games","Jazz","Tennis","Savoury","2","6-7","No","Blue","2","Virgo","4","Yes","No","1","600","PSB Coventry University","9","7","DM","IP"
"2019/08/29 5:02:02 PM GMT+8","10","1995","Singaporean","Male","Physical Sports","Rock","Football","Bitter","5","4-5","Yes","White","5","Scorpio","3","No","Yes","7","2700","Other institution Overseas","8","6","ISEG","IP"
"2019/08/29 5:02:05 PM GMT+8","8","2000","Indonesian","Female","Listen to Music","Pop","Football","Salty","3","6-7","No","Black","3","Capricorn","8","Yes","No","2","400","PSB Coventry University","6","6","DM","IP"
"2019/08/29 5:02:16 PM GMT+8","6","1999","Korean","Male","Physical Sports","Rap","Basketball","Sour","3","6-7","No","Red","8","Libra","5","No","No","1","700","Other Institution in Singapore","5","4","DM","IP"
"2019/08/29 5:02:40 PM GMT+8","7","2000","Indonesian","Male","Listen to Music","Jazz","Basketball","Sour","5",">8","No","Blue","6","Leo","7","No","No","2","500$","No Further Studies","1","1","ISOG","IP"
"2019/08/29 5:02:48 PM GMT+8","7","2000","Malaysian","Male","Games","Rock","Football","Bitter","1","4-5","No","Blue","7","Libra","6","Yes","Yes","0","$500 sgd","Other institution Overseas","7","8","IP","DM"
"2019/08/29 5:03:17 PM GMT+8","7","2000","Korean","Female","Shopping","EDM","Tennis","Savoury","4","4-5","Prefer not to say","Yellow","5","Leo","7","No","Yes","7","300","PSB University of Newcastle","7","7","AC","DCNG"
"2019/08/29 5:04:23 PM GMT+8","6","1997","Burmese","Male","Hanging out with friends outside","Rock","Tennis","Savoury","4","6-7","Prefer not to say","Yellow","4","Cancer","5","No","Yes","4","500","PSB Edith Cowan University","7","7","AC","IP"
"2019/08/29 5:04:23 PM GMT+8","10","1998","Malaysian","Male","Listen to Music","Rap","Basketball","Salty","4",">8","Yes","Red","8","Leo","8","No","No","4","670","PSB Coventry University","5","5","AC","AC"
"2019/08/29 5:04:43 PM GMT+8","6","2000","Malaysian","Male","Physical Sports","Jazz","Basketball","Sweet","3","6-7","No","Black","4","Scorpio","8","No","No","3","700-900sgd","Other Institution in Singapore","6","8","AC","ISEG"
"2019/08/29 5:05:09 PM GMT+8","6","1995","Malaysian","Prefer not to say","Games","EDM","Tennis","Salty","5","6-7","Prefer not to say","Red","6","Aries","6","No","No","5","566","PSB University of Newcastle","6","8","IP","AC"
"2019/08/29 5:05:20 PM GMT+8","7","1999","Malaysian","Male","Games","Rock","Hockey","Bitter","3",">8","Yes","Red","8","Gemini","5","No","Yes","7","3000","PSB Edith Cowan University","1","1","ISOG","IP"
"2019/08/29 5:05:21 PM GMT+8","6","1999","Malaysian","Male","Games","Rock","Basketball","Salty","4","6-7","No","Purple","9","Pisces","7","Yes","Yes","6","600","No Further Studies","7","6","ac","ac"
"2019/08/29 5:07:39 PM GMT+8","8","2000","filipino","Female","Hanging out with friends outside","Pop","Football","Salty","3","6-7","No","White","7","Sagittarius","10","Yes","Yes","2","800sgd","PSB UOW","9","7","DCNF","dcng"
"2019/08/29 5:08:14 PM GMT+8","9","2000","Indonesian","Female","Listen to Music","Pop","Basketball","Sweet","3","6-7","No","Black","7","Libra","7","No","Yes","1","1000","PSB University of Newcastle","7","7","",""
"2019/08/29 5:08:24 PM GMT+8","3",">2002","Burmese","Female","Shopping","Pop","Tennis","Sweet","2",">8","No","Orange","2","Sagittarius","4","No","Yes","2","1799","PSB Coventry University","6","6","DM","IP"
"2019/08/29 5:10:20 PM GMT+8","3","1999","Korean","Male","Games","Jazz","Football","Bitter","2",">8","Prefer not to say","Black","6","Aquarius","5","Yes","Yes","1","3500","Other institution Overseas","5","3","DM","IP"
"2019/08/29 5:11:16 PM GMT+8","8","1995","Korean","Male","Hanging out with friends outside","Rap","Football","Salty","2","6-7","Yes","White","2","Cancer","3","Yes","Yes","1","1200sgd","Going back to korea😥","10","5","Bdm","Mgmt"
"2019/08/29 5:11:50 PM GMT+8","4","<1995","Thai","Male","Listen to Music","Rock","Tennis","Salty","2","6-7","Yes","Blue","8","Aquarius","7","Yes","No","0","1000","PSB Edinbrugh","8","7","CSS","FSOM"
"2019/08/29 5:11:50 PM GMT+8","5",">2002","Singaporean","Male","Physical Sports","Rap","Basketball","Sweet","3","6-7","No","Purple","4","Virgo","3","Yes","No","0","derek","PSB Coventry University","6","5","",""
"2019/08/29 5:12:22 PM GMT+8","7","2000","Korean","Male","Hanging out with friends outside","Pop","Football","Sweet","4","6-7","No","Purple","3","Leo","5","No","Yes","1","1200","PSB Coventry University","9","9","Dcng","Ac"
"2019/08/29 5:12:46 PM GMT+8","7","2000","Indian","Male","Games","Rap","Tennis","Bitter","3","4-5","No","Black","6","Cancer","7","Yes","No","1","A lot","Other institution Overseas","6","7","",""
"2019/08/29 5:13:16 PM GMT+8","7","2000","Korean","Male","Games","Pop","Basketball","Bitter","4","<1","Prefer not to say","Black","5","Gemini","3","No","Yes","5","1234","Other Institution in Singapore","10","10","AC","IP"
"2019/08/29 5:13:21 PM GMT+8","7","2000","Korean","Male","Games","Pop","Basketball","Bitter","4","<1","Prefer not to say","Black","5","Gemini","3","No","Yes","5","1234","Other Institution in Singapore","10","10","AC","IP"
"2019/08/29 5:15:34 PM GMT+8","10","1998","Singaporean","Female","Hanging out with friends outside","Rock","Football","Salty","5","4-5","No","Orange","2","Leo","6","Yes","No","0","400","PSB Edith Cowan University","8","8","AC","IP"
"2019/08/29 5:15:38 PM GMT+8","5","2000","Malaysian","Male","Games","Pop","Basketball","Savoury","3","6-7","No","Blue","8","Scorpio","7","No","Yes","4","400","PSB Coventry University","5","5","",""
"2019/08/29 5:17:01 PM GMT+8","6","2001","Indonesian","Female","Games","Pop","Football","Sour","4","6-7","Prefer not to say","Red","4","Gemini","6","No","No","5","500","Other institution Overseas","5","7","Ac","Iseg"
"2019/08/29 5:17:54 PM GMT+8","5","1998","Malaysian","Female","Physical Sports","EDM","Cricket","Bitter","4","6-7","Prefer not to say","Orange","5","Cancer","5","Yes","No","4","680","No Further Studies","6","5","AC","Math"
"2019/08/29 5:19:46 PM GMT+8","8","2000","Malaysian","Male","Hanging out with friends outside","EDM","Volleyball","Sour","4","4-5","No","Blue","5","Pisces","3","Yes","Yes","2","500sgd","PSB University of Newcastle","6","8","",""
"2019/08/29 5:21:59 PM GMT+8","10","1998","Singaporean","Female","Shopping","Rap","Hockey","Sweet","5","4-5","No","Purple","9","Leo","10","No","Yes","1","60","Other Institution in Singapore","9","8","ISEG","AC"
"2019/08/29 5:22:01 PM GMT+8","8","2000","Korean","Male","Physical Sports","Jazz","Football","Salty","3",">8","Yes","Yellow","7","Gemini","7","No","Yes","0","2000","Other Institution in Singapore","8","7","",""
"2019/08/29 5:23:07 PM GMT+8","10","2000","Korean","Male","Physical Sports","Rap","Football","Sweet","2","6-7","No","Green","7","Leo","8","No","Yes","0","over 1200","Other Institution in Singapore","8","7","",""
"2019/08/29 5:24:03 PM GMT+8","9","1997","Indonesian","Male","Physical Sports","EDM","Basketball","Bitter","5",">8","Yes","Blue","4","Scorpio","6","Yes","No","2","130","PSB Edith Cowan University","8","10","AC","DCNG"
"2019/08/29 5:34:31 PM GMT+8","4","1998","Malaysian","Male","Games","Pop","Volleyball","Sweet","4","4-5","No","White","6","Sagittarius","3","No","Yes","2","RM200-300","University in Malaysia ","1","1","DCNG","AC"
"2019/08/29 5:36:31 PM GMT+8","5","<1995","Korean","Male","Games","Rap","Football","Sweet","2","6-7","No","White","5","Gemini","4","Yes","No","2","$500","No Further Studies","5","5","",""
"2019/08/29 5:36:40 PM GMT+8","6","<1995","Korean","Male","Games","Rap","Football","Sweet","2","4-5","Prefer not to say","Black","0","Virgo","3","Yes","Yes","1","2,300","Other institution Overseas","5","5","","ip"
